Dimension,Value,Procedure,Measure,Pre-Op Q Mean,Pre-Op Q 5%,Pre-Op Q 1st Quartile,Pre-Op Q Median,Pre-Op Q 3rd Quartile,Pre-Op Q 95%,Post-Op Q Mean,Post-Op Q 5%,Post-Op Q 1st Quartile,Post-Op Q Median,Post-Op Q 3rd Quartile,Post-Op Q 95%,Heath Gain Mean,Heath Gain 5%,Heath Gain 1st Quartile,Heath Gain Median,Heath Gain 3rd Quartile,Heath Gain 95%,Improved,Unchanged,Worsened,Total
Age and Gender,0 - 50 to 54,Hip Replacement,EQ-5D Index,,,,,,,,,,,,,,,,,,,,,,
Age and Gender,0 - 50 to 54,Hip Replacement,Oxford Hip Score,,,,,,,,,,,,,,,,,,,,,,
Age and Gender,0 - 50 to 54,Knee Replacement,EQ VAS,70,70,70,70,70,70,90,90,90,90,90,90,20,20,20,20,20,20,1,0,0,1
Age and Gender,0 - 50 to 54,Knee Replacement,EQ-5D Index,0.691,0.691,0.691,0.691,0.691,0.691,1,1,1,1,1,1,0.309,0.309,0.309,0.309,0.309,0.309,1,0,0,1
Age and Gender,0 - 50 to 54,Knee Replacement,Oxford Knee Score,23,23,23,23,23,23,43,43,43,43,43,43,20,20,20,20,20,20,1,0,0,1
Age and Gender,0 - 55 to 59,Hip Replacement,EQ VAS,,,,,,,,,,,,,,,,,,,,,,
Age and Gender,0 - 55 to 59,Hip Replacement,EQ-5D Index,,,,,,,,,,,,,,,,,,,,,,
Age and Gender,0 - 55 to 59,Hip Replacement,Oxford Hip Score,,,,,,,,,,,,,,,,,,,,,,
Age and Gender,0 - 55 to 59,Knee Replacement,EQ VAS,,,,,,,,,,,,,,,,,,,,,,
Age and Gender,0 - 55 to 59,Knee Replacement,EQ-5D Index,,,,,,,,,,,,,,,,,,,,,,
Age and Gender,0 - 55 to 59,Knee Replacement,Oxford Knee Score,,,,,,,,,,,,,,,,,,,,,,
Age and Gender,0 - 60 to 64,Hip Replacement,EQ VAS,85,85,85,85,85,85,90,90,90,90,90,90,5,5,5,5,5,5,1,0,0,1
Age and Gender,0 - 60 to 64,Hip Replacement,EQ-5D Index,0.691,0.691,0.691,0.691,0.691,0.691,0.691,0.691,0.691,0.691,0.691,0.691,0,0,0,0,0,0,0,1,0,1
Age and Gender,0 - 60 to 64,Hip Replacement,Oxford Hip Score,23,23,23,23,23,23,46,46,46,46,46,46,23,23,23,23,23,23,1,0,0,1
Age and Gender,0 - 60 to 64,Knee Replacement,EQ VAS,,,,,,,,,,,,,,,,,,,,,,
Age and Gender,0 - 60 to 64,Knee Replacement,EQ-5D Index,,,,,,,,,,,,,,,,,,,,,,
Age and Gender,0 - 60 to 64,Knee Replacement,Oxford Knee Score,,,,,,,,,,,,,,,,,,,,,,
Age and Gender,0 - 65 to 69,Hip Replacement,EQ VAS,20,20,20,20,20,20,17,17,17,17,17,17,-3,-3,-3,-3,-3,-3,0,0,1,1
Age and Gender,0 - 65 to 69,Hip Replacement,EQ-5D Index,-0.239,-0.239,-0.239,-0.239,-0.239,-0.239,-0.016,-0.016,-0.016,-0.016,-0.016,-0.016,0.223,0.223,0.223,0.223,0.223,0.223,1,0,0,1
Age and Gender,0 - 65 to 69,Hip Replacement,Oxford Hip Score,5,5,5,5,5,5,48,48,48,48,48,48,43,43,43,43,43,43,1,0,0,1
Age and Gender,0 - 65 to 69,Knee Replacement,EQ VAS,,,,,,,,,,,,,,,,,,,,,,
Age and Gender,0 - 65 to 69,Knee Replacement,EQ-5D Index,,,,,,,,,,,,,,,,,,,,,,
Age and Gender,0 - 65 to 69,Knee Replacement,Oxford Knee Score,,,,,,,,,,,,,,,,,,,,,,
Age and Gender,0 - 70 to 74,Hip Replacement,EQ VAS,,,,,,,,,,,,,,,,,,,,,,
Age and Gender,0 - 70 to 74,Hip Replacement,EQ-5D Index,,,,,,,,,,,,,,,,,,,,,,
Age and Gender,0 - 70 to 74,Hip Replacement,Oxford Hip Score,,,,,,,,,,,,,,,,,,,,,,
Age and Gender,0 - 70 to 74,Knee Replacement,EQ VAS,,,,,,,,,,,,,,,,,,,,,,
Age and Gender,0 - 70 to 74,Knee Replacement,EQ-5D Index,,,,,,,,,,,,,,,,,,,,,,
Age and Gender,0 - 70 to 74,Knee Replacement,Oxford Knee Score,,,,,,,,,,,,,,,,,,,,,,
Age and Gender,0 - 75 to 79,Hip Replacement,EQ VAS,,,,,,,,,,,,,,,,,,,,,,
Age and Gender,0 - 75 to 79,Hip Replacement,EQ-5D Index,,,,,,,,,,,,,,,,,,,,,,
Age and Gender,0 - 75 to 79,Hip Replacement,Oxford Hip Score,,,,,,,,,,,,,,,,,,,,,,
Age and Gender,0 - 75 to 79,Knee Replacement,EQ VAS,,,,,,,,,,,,,,,,,,,,,,
Age and Gender,0 - 75 to 79,Knee Replacement,EQ-5D Index,,,,,,,,,,,,,,,,,,,,,,
Age and Gender,0 - 75 to 79,Knee Replacement,Oxford Knee Score,,,,,,,,,,,,,,,,,,,,,,
Age and Gender,0 - 80 to 84,Hip Replacement,EQ VAS,,,,,,,,,,,,,,,,,,,,,,
Age and Gender,0 - 80 to 84,Hip Replacement,EQ-5D Index,,,,,,,,,,,,,,,,,,,,,,
Age and Gender,0 - 80 to 84,Hip Replacement,Oxford Hip Score,,,,,,,,,,,,,,,,,,,,,,
Age and Gender,0 - 80 to 84,Knee Replacement,EQ VAS,,,,,,,,,,,,,,,,,,,,,,
Age and Gender,0 - 80 to 84,Knee Replacement,EQ-5D Index,,,,,,,,,,,,,,,,,,,,,,
Age and Gender,0 - 80 to 84,Knee Replacement,Oxford Knee Score,,,,,,,,,,,,,,,,,,,,,,
Age and Gender,0 - 85 to 89,Hip Replacement,EQ VAS,,,,,,,,,,,,,,,,,,,,,,
Age and Gender,0 - 85 to 89,Hip Replacement,EQ-5D Index,,,,,,,,,,,,,,,,,,,,,,
Age and Gender,0 - 85 to 89,Hip Replacement,Oxford Hip Score,,,,,,,,,,,,,,,,,,,,,,
Age and Gender,0 - 85 to 89,Knee Replacement,EQ VAS,,,,,,,,,,,,,,,,,,,,,,
Age and Gender,0 - 85 to 89,Knee Replacement,EQ-5D Index,,,,,,,,,,,,,,,,,,,,,,
Age and Gender,0 - 85 to 89,Knee Replacement,Oxford Knee Score,,,,,,,,,,,,,,,,,,,,,,
Age and Gender,0 - 90 to 120,Hip Replacement,EQ VAS,,,,,,,,,,,,,,,,,,,,,,
Age and Gender,0 - 90 to 120,Hip Replacement,EQ-5D Index,,,,,,,,,,,,,,,,,,,,,,
Age and Gender,0 - 90 to 120,Hip Replacement,Oxford Hip Score,,,,,,,,,,,,,,,,,,,,,,
Age and Gender,0 - 90 to 120,Knee Replacement,EQ VAS,,,,,,,,,,,,,,,,,,,,,,
Age and Gender,0 - 90 to 120,Knee Replacement,EQ-5D Index,,,,,,,,,,,,,,,,,,,,,,
Age and Gender,0 - 90 to 120,Knee Replacement,Oxford Knee Score,,,,,,,,,,,,,,,,,,,,,,
Age and Gender,1 - 10 to 14,Hip Replacement,EQ VAS,,,,,,,,,,,,,,,,,,,,,,
Age and Gender,1 - 10 to 14,Hip Replacement,EQ-5D Index,,,,,,,,,,,,,,,,,,,,,,
Age and Gender,1 - 10 to 14,Hip Replacement,Oxford Hip Score,,,,,,,,,,,,,,,,,,,,,,
Age and Gender,1 - 10 to 14,Knee Replacement,EQ VAS,,,,,,,,,,,,,,,,,,,,,,
Age and Gender,1 - 10 to 14,Knee Replacement,EQ-5D Index,,,,,,,,,,,,,,,,,,,,,,
Age and Gender,1 - 10 to 14,Knee Replacement,Oxford Knee Score,,,,,,,,,,,,,,,,,,,,,,
Age and Gender,1 - 15 to 19,Hip Replacement,EQ VAS,57,40.75,43.75,56.5,69.75,73.95,92.75,90,90,90.5,93.25,98.65,35.75,16.2,21,36.5,51.25,54.25,4,0,0,4
Age and Gender,1 - 15 to 19,Hip Replacement,EQ-5D Index,0.297,-0.05,0.048,0.338,0.587,0.587,0.696,0.542,0.647,0.709,0.758,0.832,0.399,0.128,0.223,0.346,0.521,0.745,4,0,0,4
Age and Gender,1 - 15 to 19,Hip Replacement,Oxford Hip Score,17.8,10.8,14,19,20,24.8,35.8,19.4,37,38,43,45.4,18,3.2,12,24,26,26.8,5,0,0,5
Age and Gender,1 - 15 to 19,Knee Replacement,EQ VAS,,,,,,,,,,,,,,,,,,,,,,
Age and Gender,1 - 15 to 19,Knee Replacement,EQ-5D Index,,,,,,,,,,,,,,,,,,,,,,
Age and Gender,1 - 15 to 19,Knee Replacement,Oxford Knee Score,,,,,,,,,,,,,,,,,,,,,,
Age and Gender,1 - 20 to 24,Hip Replacement,EQ VAS,58.533,11.4,41,58,80,93,71,30,57.5,80,90,98.6,12.467,-53,0,22,30,45.9,10,2,3,15
Age and Gender,1 - 20 to 24,Hip Replacement,EQ-5D Index,0.362,-0.074,-0.003,0.587,0.62,0.719,0.649,0.008,0.587,0.656,0.85,1,0.287,-0.372,0,0.228,0.636,1.074,9,1,3,13
Age and Gender,1 - 20 to 24,Hip Replacement,Oxford Hip Score,17.833,7.1,12.5,15,25.25,28.35,32.583,17.1,22.5,33,44,47.45,14.75,0.4,8.75,12.5,17.25,36.05,11,0,1,12
Age and Gender,1 - 20 to 24,Knee Replacement,EQ VAS,,,,,,,,,,,,,,,,,,,,,,
Age and Gender,1 - 20 to 24,Knee Replacement,EQ-5D Index,,,,,,,,,,,,,,,,,,,,,,
Age and Gender,1 - 20 to 24,Knee Replacement,Oxford Knee Score,,,,,,,,,,,,,,,,,,,,,,
Age and Gender,1 - 25 to 29,Hip Replacement,EQ VAS,56.429,20,40,60,77.25,90,70.429,25.2,52.5,80,90,95,14,-23.5,-7.5,10,32.25,70.45,9,1,4,14
Age and Gender,1 - 25 to 29,Hip Replacement,EQ-5D Index,0.225,-0.204,-0.016,0.088,0.516,0.656,0.616,-0.181,0.516,0.848,1,1,0.391,-0.175,0.104,0.413,0.601,0.942,11,1,1,13
Age and Gender,1 - 25 to 29,Hip Replacement,Oxford Hip Score,17.714,3.95,16,17,19.75,32.35,37.286,9.9,35,45,47,48,19.571,-2.2,14.25,18.5,29.75,35.5,13,0,1,14
Age and Gender,1 - 25 to 29,Knee Replacement,EQ VAS,50,50,50,50,50,50,70,70,70,70,70,70,20,20,20,20,20,20,1,0,0,1
Age and Gender,1 - 25 to 29,Knee Replacement,EQ-5D Index,0.516,0.516,0.516,0.516,0.516,0.516,0.516,0.516,0.516,0.516,0.516,0.516,0,0,0,0,0,0,0,1,0,1
Age and Gender,1 - 25 to 29,Knee Replacement,Oxford Knee Score,30,30,30,30,30,30,30,30,30,30,30,30,0,0,0,0,0,0,0,1,0,1
Age and Gender,1 - 30 to 34,Hip Replacement,EQ VAS,57.862,31.6,49,55,70,86,78.138,40,76,80,90,98.4,20.276,-16,10,20,35,40.6,24,1,4,29
Age and Gender,1 - 30 to 34,Hip Replacement,EQ-5D Index,0.3,-0.182,-0.016,0.404,0.569,0.691,0.682,-0.048,0.533,0.778,1,1,0.383,-0.253,0.122,0.31,0.683,0.989,24,2,4,30
Age and Gender,1 - 30 to 34,Hip Replacement,Oxford Hip Score,17.152,4.2,12,17,22,29.8,37.697,15.4,37,42,45,48,20.545,-1.6,14,24,28,32.4,31,0,2,33
Age and Gender,1 - 30 to 34,Knee Replacement,EQ VAS,48.333,45.5,47.5,50,50,50,50,33,45,60,60,60,1.667,-12.5,-2.5,10,10,10,2,0,1,3
Age and Gender,1 - 30 to 34,Knee Replacement,EQ-5D Index,0.238,-0.236,0.098,0.516,0.516,0.516,0.34,-0.163,0.139,0.516,0.63,0.72,0.102,0.008,0.04,0.08,0.154,0.212,2,1,0,3
Age and Gender,1 - 30 to 34,Knee Replacement,Oxford Knee Score,19.667,9.4,15,22,25.5,28.3,26.333,10.4,20,32,35.5,38.3,6.667,1,5,10,10,10,2,1,0,3
Age and Gender,1 - 35 to 39,Hip Replacement,EQ VAS,54,16.25,35,60,70,88.75,72.727,22.5,64.25,80,90,98,18.727,-20,5,17.5,36,65,50,1,15,66
Age and Gender,1 - 35 to 39,Hip Replacement,EQ-5D Index,0.362,-0.239,0.055,0.516,0.62,0.782,0.743,0.047,0.62,0.814,1,1,0.381,-0.106,0.175,0.321,0.636,0.927,60,3,6,69
Age and Gender,1 - 35 to 39,Hip Replacement,Oxford Hip Score,18.514,5,12,18,24,32.1,38.743,15,33,44,47,48,20.229,2,14,21,25,37.65,67,0,3,70
Age and Gender,1 - 35 to 39,Knee Replacement,EQ VAS,61,38.1,58.5,60,70,77,62.857,36,55,65,75,83.5,1.857,-31,-7.5,3,20,23.5,4,0,3,7
Age and Gender,1 - 35 to 39,Knee Replacement,EQ-5D Index,0.247,0.02,0.088,0.124,0.312,0.691,0.483,0.039,0.153,0.603,0.691,0.892,0.236,-0.413,0,0.237,0.55,0.804,5,2,1,8
Age and Gender,1 - 35 to 39,Knee Replacement,Oxford Knee Score,16.5,6.5,14.5,15,21.25,25.65,30.75,10.15,17.5,33.5,45,46.95,14.25,-4.45,4.75,17.5,22.75,29.3,7,0,1,8
Age and Gender,1 - 40 to 44,Hip Replacement,EQ VAS,58.436,20,40,60,75.75,91.25,78.929,42.25,70,84.5,90,100,20.494,-5,5,19,35,60,127,11,18,156
Age and Gender,1 - 40 to 44,Hip Replacement,EQ-5D Index,0.387,-0.142,0.055,0.534,0.69,0.796,0.828,0.148,0.727,1,1,1,0.441,0,0.233,0.38,0.627,1.005,146,7,5,158
Age and Gender,1 - 40 to 44,Hip Replacement,Oxford Hip Score,19.006,7,14,18,24,34.75,40.789,22.25,37,44,47,48,21.783,3,16.25,22,29,36,161,1,4,166
Age and Gender,1 - 40 to 44,Knee Replacement,EQ VAS,58.314,25.5,47.5,54,75,95,68.314,30,55,75,81.5,93.6,10,-17.7,-3.5,5,20,49.6,20,5,10,35
Age and Gender,1 - 40 to 44,Knee Replacement,EQ-5D Index,0.387,-0.057,0.088,0.552,0.691,0.76,0.626,-0.101,0.516,0.727,1,1,0.239,-0.476,0,0.217,0.454,0.893,26,4,6,36
Age and Gender,1 - 40 to 44,Knee Replacement,Oxford Knee Score,19.25,7.75,13,17.5,25,31.25,33.389,9.75,26.75,37,42.5,46.25,14.139,-1.5,6,14.5,22,29,32,1,3,36
Age and Gender,1 - 45 to 49,Hip Replacement,EQ VAS,62.956,25,50,65,80,95,76.027,34.3,70,80,90,98,13.071,-23.5,0,10,27.5,55,258,30,79,367
Age and Gender,1 - 45 to 49,Hip Replacement,EQ-5D Index,0.363,-0.181,0.055,0.516,0.691,0.76,0.81,0.082,0.691,1,1,1,0.448,-0.071,0.228,0.396,0.766,1.016,327,15,29,371
Age and Gender,1 - 45 to 49,Hip Replacement,Oxford Hip Score,18.094,6,12,18,23,32,40.563,20.65,37,44,48,48,22.47,3,17,24,29,39,377,5,12,394
Age and Gender,1 - 45 to 49,Knee Replacement,EQ VAS,63.194,26.9,50,70,80,90.1,70.039,20,60,78.5,88,95,6.844,-40,-5,9.5,25,45,113,17,50,180
Age and Gender,1 - 45 to 49,Knee Replacement,EQ-5D Index,0.372,-0.077,0.055,0.364,0.691,0.76,0.678,-0.016,0.587,0.727,1,1,0.306,-0.294,0.036,0.309,0.607,0.841,136,15,30,181
Age and Gender,1 - 45 to 49,Knee Replacement,Oxford Knee Score,18.115,6,12,18,22.5,33,35.026,11,29.5,38,44,47,16.911,-1.5,9,18,25,33,174,5,12,191
Age and Gender,1 - 50 to 54,Hip Replacement,EQ VAS,61.844,20,50,70,80,93,78.122,40,70,80,90,100,16.279,-19.75,0,15,30,60,570,60,156,786
Age and Gender,1 - 50 to 54,Hip Replacement,EQ-5D Index,0.38,-0.074,0.055,0.516,0.691,0.76,0.813,0.082,0.691,1,1,1,0.433,-0.036,0.204,0.38,0.727,1.016,720,36,48,804
Age and Gender,1 - 50 to 54,Hip Replacement,Oxford Hip Score,18.607,6,12,18,25,33,41.131,20.6,39,45,47,48,22.524,4,17,23,30,38,827,7,19,853
Age and Gender,1 - 50 to 54,Knee Replacement,EQ VAS,65.037,29.55,50,70,80,92.45,73.353,30,65,79,90,97.45,8.316,-25,-3,10,20,40,377,60,155,592
Age and Gender,1 - 50 to 54,Knee Replacement,EQ-5D Index,0.427,-0.016,0.132,0.62,0.691,0.76,0.729,0.088,0.62,0.76,1,1,0.302,-0.14,0.036,0.296,0.59,0.871,460,69,69,598
Age and Gender,1 - 50 to 54,Knee Replacement,Oxford Knee Score,19.467,7,14,19,24,33,35.717,16,30,38,44,48,16.25,-2,9,17,24,32,575,12,38,625
Age and Gender,1 - 55 to 59,Hip Replacement,EQ VAS,63.659,22,50,70,80,93.7,79.152,40,71,84,90,100,15.494,-17,0,13,30,58,991,96,240,1327
Age and Gender,1 - 55 to 59,Hip Replacement,EQ-5D Index,0.402,-0.074,0.055,0.585,0.691,0.796,0.834,0.516,0.727,1,1,1,0.433,-0.033,0.209,0.38,0.705,1.016,1229,64,72,1365
Age and Gender,1 - 55 to 59,Hip Replacement,Oxford Hip Score,19.145,6,13,19,25,34,41.581,23,39,45,47,48,22.436,4.15,16,23,29.25,37,1385,8,31,1424
Age and Gender,1 - 55 to 59,Knee Replacement,EQ VAS,67.59,30,51,70,80,95,74.732,35,65,80,90,95,7.142,-30,-5,5,20,45,869,160,419,1448
Age and Gender,1 - 55 to 59,Knee Replacement,EQ-5D Index,0.414,-0.074,0.101,0.587,0.691,0.796,0.737,0.16,0.689,0.76,1,1,0.323,-0.104,0.069,0.309,0.601,0.866,1207,126,160,1493
Age and Gender,1 - 55 to 59,Knee Replacement,Oxford Knee Score,19.863,8,14,19,25,34,36.4,17,31,39,44,47,16.537,-1,10,17,24,32,1460,16,80,1556
Age and Gender,1 - 60 to 64,Hip Replacement,EQ VAS,64.579,25,50,70,80,92,79.409,40,70,85,90,100,14.83,-16,0,10,27,55,1382,156,351,1889
Age and Gender,1 - 60 to 64,Hip Replacement,EQ-5D Index,0.395,-0.074,0.055,0.587,0.691,0.76,0.835,0.516,0.727,1,1,1,0.441,0,0.209,0.413,0.707,1.003,1764,103,88,1955
Age and Gender,1 - 60 to 64,Hip Replacement,Oxford Hip Score,19.12,6,13,19,24,33,41.494,24,39,45,47,48,22.374,4,16,23,30,37,2017,12,46,2075
Age and Gender,1 - 60 to 64,Knee Replacement,EQ VAS,68.524,30,55,70,84,95,75.735,40,69,80,90,98,7.211,-28,-5,5,20,45,1497,281,718,2496
Age and Gender,1 - 60 to 64,Knee Replacement,EQ-5D Index,0.447,-0.016,0.159,0.62,0.691,0.76,0.744,0.088,0.681,0.76,1,1,0.297,-0.168,0.069,0.273,0.532,0.841,2031,251,290,2572
Age and Gender,1 - 60 to 64,Knee Replacement,Oxford Knee Score,20.37,8,15,20,26,34,36.504,16,31,39,44,47,16.134,-1,9,17,23,31.75,2492,29,165,2686
Age and Gender,1 - 65 to 69,Hip Replacement,EQ VAS,66.927,25,50,70,80,95,79.604,50,73,84,90,100,12.676,-19,0,10,24,55,1784,250,536,2570
Age and Gender,1 - 65 to 69,Hip Replacement,EQ-5D Index,0.408,-0.074,0.055,0.587,0.691,0.76,0.838,0.516,0.727,1,1,1,0.43,0,0.204,0.367,0.691,1.003,2408,120,129,2657
Age and Gender,1 - 65 to 69,Hip Replacement,Oxford Hip Score,19.338,7,13,19,25,34,41.462,24,39,44,47,48,22.124,5,16,23,29,37,2736,10,64,2810
Age and Gender,1 - 65 to 69,Knee Replacement,EQ VAS,70.703,30,60,75,85,95,77.651,45,70,80,90,96.25,6.948,-22,-4,5,15,42,2064,435,977,3476
Age and Gender,1 - 65 to 69,Knee Replacement,EQ-5D Index,0.468,-0.016,0.159,0.62,0.691,0.779,0.787,0.378,0.691,0.796,1,1,0.318,-0.104,0.087,0.309,0.557,0.864,2991,318,287,3596
Age and Gender,1 - 65 to 69,Knee Replacement,Oxford Knee Score,20.935,9,15,21,26,34,37.821,20,33,40,45,48,16.886,0,11,17,24,32,3554,31,173,3758
Age and Gender,1 - 70 to 74,Hip Replacement,EQ VAS,66.81,25,50,70,80,95,78.947,45,70,80,90,99,12.137,-20,0,10,24,50,2083,273,670,3026
Age and Gender,1 - 70 to 74,Hip Replacement,EQ-5D Index,0.39,-0.074,0.055,0.516,0.691,0.76,0.831,0.516,0.71,0.883,1,1,0.441,0,0.209,0.413,0.724,1.003,2859,140,149,3148
Age and Gender,1 - 70 to 74,Hip Replacement,Oxford Hip Score,19.276,6,13,19,25,34,40.978,23,38,44,47,48,21.702,4,15,23,29,37,3289,15,79,3383
Age and Gender,1 - 70 to 74,Knee Replacement,EQ VAS,71.83,35,60,75,85,95,77.999,45,70,80,90,97.95,6.169,-20,-5,5,15,40,2406,506,1230,4142
Age and Gender,1 - 70 to 74,Knee Replacement,EQ-5D Index,0.473,-0.016,0.159,0.62,0.691,0.796,0.795,0.516,0.691,0.796,1,1,0.322,-0.071,0.087,0.309,0.532,0.865,3585,377,349,4311
Age and Gender,1 - 70 to 74,Knee Replacement,Oxford Knee Score,21.245,9,16,21,27,34,38.24,20.45,34,41,45,48,16.994,0,11,18,24,32,4249,45,196,4490
Age and Gender,1 - 75 to 79,Hip Replacement,EQ VAS,67.518,29,50,70,80,95,77.79,48,70,80,90,99,10.272,-20,-1,8,20,50,1386,257,579,2222
Age and Gender,1 - 75 to 79,Hip Replacement,EQ-5D Index,0.376,-0.074,0.055,0.516,0.691,0.76,0.809,0.364,0.691,0.848,1,1,0.433,0,0.194,0.413,0.701,1.003,2109,108,115,2332
Age and Gender,1 - 75 to 79,Hip Replacement,Oxford Hip Score,18.869,6,13,18,24,33,40.087,22,36,43,46,48,21.218,3,15,22,28,36,2425,20,64,2509
Age and Gender,1 - 75 to 79,Knee Replacement,EQ VAS,71.536,35,60,75,85,95,76.88,45,70,80,90,97,5.345,-25,-5,5,15,40,1601,397,894,2892
Age and Gender,1 - 75 to 79,Knee Replacement,EQ-5D Index,0.466,-0.016,0.159,0.62,0.691,0.76,0.785,0.364,0.691,0.796,1,1,0.319,-0.071,0.071,0.309,0.536,0.866,2504,279,238,3021
Age and Gender,1 - 75 to 79,Knee Replacement,Oxford Knee Score,20.802,9,15,21,26,34,37.548,20,33,40,44,48,16.746,0,11,17,23,32,3065,21,148,3234
Age and Gender,1 - 80 to 84,Hip Replacement,EQ VAS,66.223,28.1,50,70,80,95,76.34,45,70,80,90,97,10.117,-20,0,9,20,50,781,153,309,1243
Age and Gender,1 - 80 to 84,Hip Replacement,EQ-5D Index,0.345,-0.074,0.03,0.516,0.62,0.727,0.794,0.293,0.691,0.815,1,1,0.449,0,0.192,0.413,0.74,1.003,1182,74,59,1315
Age and Gender,1 - 80 to 84,Hip Replacement,Oxford Hip Score,18.133,5,12,17,24,33,39.659,24,36,42,46,48,21.525,3,15,22,29,37,1425,7,39,1471
Age and Gender,1 - 80 to 84,Knee Replacement,EQ VAS,70.632,32.6,60,75,85,95,77.03,49,70,80,90,97,6.397,-20,-5,5,15,40,867,221,465,1553
Age and Gender,1 - 80 to 84,Knee Replacement,EQ-5D Index,0.46,-0.016,0.159,0.62,0.691,0.76,0.783,0.364,0.691,0.796,1,1,0.323,-0.071,0.104,0.309,0.538,0.912,1357,160,108,1625
Age and Gender,1 - 80 to 84,Knee Replacement,Oxford Knee Score,20.457,8,15,21,26,34,37.212,20,32,39,44,47,16.755,0,10,17,23,33,1686,21,79,1786
Age and Gender,1 - 85 to 89,Hip Replacement,EQ VAS,64.024,20,50,70,80,93,75.443,47.8,70,80,90,95.6,11.419,-20,0,10,25,55,292,47,110,449
Age and Gender,1 - 85 to 89,Hip Replacement,EQ-5D Index,0.304,-0.181,-0.003,0.26,0.587,0.691,0.78,0.312,0.691,0.814,1,1,0.476,-0.071,0.191,0.461,0.765,1.014,414,19,31,464
Age and Gender,1 - 85 to 89,Hip Replacement,Oxford Hip Score,16.816,4,10,16,22,32,38.616,23,34,41,45,48,21.8,3,16,22,29,38,504,5,17,526
Age and Gender,1 - 85 to 89,Knee Replacement,EQ VAS,69.733,30,60,75,82,95,75.133,44.1,69.5,80,90,95,5.4,-25,-5,4,15,45,250,64,161,475
Age and Gender,1 - 85 to 89,Knee Replacement,EQ-5D Index,0.423,-0.074,0.101,0.587,0.691,0.727,0.754,0.189,0.691,0.796,1,1,0.331,-0.104,0.104,0.273,0.603,0.899,405,44,45,494
Age and Gender,1 - 85 to 89,Knee Replacement,Oxford Knee Score,19.718,7,14,20,25,33,36.454,19,31,39,43,47,16.736,0,10,17,24,33,510,5,27,542
Age and Gender,1 - 90 to 120,Hip Replacement,EQ VAS,64.188,20,50,70,80,95,73.984,41.5,68.75,80,85,98.85,9.797,-20,-5.5,7,20.5,50,38,3,23,64
Age and Gender,1 - 90 to 120,Hip Replacement,EQ-5D Index,0.211,-0.183,-0.016,0.055,0.587,0.691,0.693,0.187,0.62,0.727,0.85,1,0.481,0,0.205,0.496,0.759,1.072,60,3,2,65
