Dimension,Value,Procedure,Measure,Pre-Op Q Mean,Pre-Op Q 5%,Pre-Op Q 1st Quartile,Pre-Op Q Median,Pre-Op Q 3rd Quartile,Pre-Op Q 95%,Post-Op Q Mean,Post-Op Q 5%,Post-Op Q 1st Quartile,Post-Op Q Median,Post-Op Q 3rd Quartile,Post-Op Q 95%,Heath Gain Mean,Heath Gain 5%,Heath Gain 1st Quartile,Heath Gain Median,Heath Gain 3rd Quartile,Heath Gain 95%,Improved,Unchanged,Worsened,Total
Age and Gender,1 - 90 to 120,Hip Replacement,Oxford Hip Score,13.042,3,6,12,16.25,31.45,34.278,18,28,37,41,46.45,21.236,1.65,14,22,31,37.45,68,1,3,72
Age and Gender,1 - 90 to 120,Knee Replacement,EQ VAS,67.723,30,60,70,80,92.4,74.292,46,70,80,85,95,6.569,-18.2,-5,5,15,53,38,10,17,65
Age and Gender,1 - 90 to 120,Knee Replacement,EQ-5D Index,0.419,-0.074,0.084,0.587,0.691,0.727,0.756,0.319,0.648,0.779,1,1,0.337,-0.154,0.105,0.298,0.59,0.989,55,3,9,67
Age and Gender,1 - 90 to 120,Knee Replacement,Oxford Knee Score,17.824,6.65,13,17,22,31.05,36.811,22.3,32.25,37,44,47,18.986,0.65,13.25,20,27,33,70,1,3,74
Age and Gender,2 - 10 to 14,Hip Replacement,EQ VAS,,,,,,,,,,,,,,,,,,,,,,
Age and Gender,2 - 10 to 14,Hip Replacement,EQ-5D Index,,,,,,,,,,,,,,,,,,,,,,
Age and Gender,2 - 10 to 14,Hip Replacement,Oxford Hip Score,,,,,,,,,,,,,,,,,,,,,,
Age and Gender,2 - 10 to 14,Knee Replacement,EQ VAS,,,,,,,,,,,,,,,,,,,,,,
Age and Gender,2 - 10 to 14,Knee Replacement,EQ-5D Index,,,,,,,,,,,,,,,,,,,,,,
Age and Gender,2 - 10 to 14,Knee Replacement,Oxford Knee Score,,,,,,,,,,,,,,,,,,,,,,
Age and Gender,2 - 15 to 19,Hip Replacement,EQ VAS,58.125,38.5,45,55,70,83,83.375,60.5,80,83.5,92.5,100,25.25,-4.75,8.75,20,50.5,53.95,7,0,1,8
Age and Gender,2 - 15 to 19,Hip Replacement,EQ-5D Index,0.328,-0.178,0.082,0.516,0.62,0.661,0.761,0.483,0.62,0.725,1,1,0.433,0.105,0.228,0.413,0.538,0.839,9,0,0,9
Age and Gender,2 - 15 to 19,Hip Replacement,Oxford Hip Score,20.1,12,13.25,20.5,22.75,31.8,41.1,31.9,37,43.5,46,47,21,5.25,16.5,23.5,27.25,31.65,10,0,0,10
Age and Gender,2 - 15 to 19,Knee Replacement,EQ VAS,20,20,20,20,20,20,30,30,30,30,30,30,10,10,10,10,10,10,1,0,0,1
Age and Gender,2 - 15 to 19,Knee Replacement,EQ-5D Index,-0.484,-0.484,-0.484,-0.484,-0.484,-0.484,-0.016,-0.016,-0.016,-0.016,-0.016,-0.016,0.468,0.468,0.468,0.468,0.468,0.468,1,0,0,1
Age and Gender,2 - 15 to 19,Knee Replacement,Oxford Knee Score,7,7,7,7,7,7,12,12,12,12,12,12,5,5,5,5,5,5,1,0,0,1
Age and Gender,2 - 20 to 24,Hip Replacement,EQ VAS,65,26.75,42.5,72.5,87.5,95,66,30,43.75,67.5,91.25,97.75,1,-12.75,-10,-2.5,5,25.5,4,1,5,10
Age and Gender,2 - 20 to 24,Hip Replacement,EQ-5D Index,0.133,-0.239,-0.181,-0.016,0.516,0.713,0.668,0.318,0.516,0.587,1,1,0.535,0.109,0.309,0.603,0.755,0.887,8,1,0,9
Age and Gender,2 - 20 to 24,Hip Replacement,Oxford Hip Score,14.889,8,9,12,17,28.8,35.111,21,26,38,42,45.6,20.222,7.6,14,21,29,30.6,9,0,0,9
Age and Gender,2 - 20 to 24,Knee Replacement,EQ VAS,70,70,70,70,70,70,20,20,20,20,20,20,-50,-50,-50,-50,-50,-50,0,0,1,1
Age and Gender,2 - 20 to 24,Knee Replacement,EQ-5D Index,0.62,0.62,0.62,0.62,0.62,0.62,-0.016,-0.016,-0.016,-0.016,-0.016,-0.016,-0.636,-0.636,-0.636,-0.636,-0.636,-0.636,0,0,1,1
Age and Gender,2 - 20 to 24,Knee Replacement,Oxford Knee Score,21,21,21,21,21,21,13,13,13,13,13,13,-8,-8,-8,-8,-8,-8,0,0,1,1
Age and Gender,2 - 25 to 29,Hip Replacement,EQ VAS,54,30,40,50,70,89,84.44,66,75,86,95,100,30.44,7.6,16,25,45,60,24,1,0,25
Age and Gender,2 - 25 to 29,Hip Replacement,EQ-5D Index,0.365,0.055,0.124,0.364,0.603,0.755,0.826,0.59,0.726,0.85,1,1,0.461,0.104,0.198,0.413,0.664,0.912,23,0,0,23
Age and Gender,2 - 25 to 29,Hip Replacement,Oxford Hip Score,18.6,11,14,20,24,26.8,42.08,32.2,38,45,48,48,23.48,8,20,23,28,35.6,25,0,0,25
Age and Gender,2 - 25 to 29,Knee Replacement,EQ VAS,75,75,75,75,75,75,35,35,35,35,35,35,-40,-40,-40,-40,-40,-40,0,0,1,1
Age and Gender,2 - 25 to 29,Knee Replacement,EQ-5D Index,0.082,0.082,0.082,0.082,0.082,0.082,0.76,0.76,0.76,0.76,0.76,0.76,0.678,0.678,0.678,0.678,0.678,0.678,1,0,0,1
Age and Gender,2 - 25 to 29,Knee Replacement,Oxford Knee Score,17,17,17,17,17,17,29,29,29,29,29,29,12,12,12,12,12,12,1,0,0,1
Age and Gender,2 - 30 to 34,Hip Replacement,EQ VAS,54.073,20,40,50,62,90,71.829,30,60,75,90,100,17.756,-20,-2,25,40,50,28,2,11,41
Age and Gender,2 - 30 to 34,Hip Replacement,EQ-5D Index,0.29,-0.298,-0.006,0.275,0.62,0.717,0.71,-0.074,0.587,0.822,1,1,0.421,0,0.236,0.38,0.547,0.963,33,2,1,36
Age and Gender,2 - 30 to 34,Hip Replacement,Oxford Hip Score,15.864,5.15,9,15.5,20.25,28.85,36.636,15.45,27,41.5,46.25,48,20.773,5.3,14,19,30,32,42,0,2,44
Age and Gender,2 - 30 to 34,Knee Replacement,EQ VAS,46.667,31.25,36.25,42.5,56.25,67.5,60.833,45,60,62.5,68.75,70,14.167,0,0,10,27.5,33.75,3,3,0,6
Age and Gender,2 - 30 to 34,Knee Replacement,EQ-5D Index,0.113,-0.198,-0.042,0.072,0.141,0.558,0.563,0.269,0.542,0.63,0.678,0.718,0.45,0.106,0.434,0.497,0.559,0.677,5,1,0,6
Age and Gender,2 - 30 to 34,Knee Replacement,Oxford Knee Score,12,6.25,8.25,13,14.75,17.25,35.167,29,29.25,34.5,39.75,43,23.167,18.75,21.25,22.5,25.25,28.25,6,0,0,6
Age and Gender,2 - 35 to 39,Hip Replacement,EQ VAS,60.607,25.3,45,62.5,75.5,99.7,78.143,40,70,80,90,99.7,17.536,-10,2.75,14.5,30,57.65,64,11,9,84
Age and Gender,2 - 35 to 39,Hip Replacement,EQ-5D Index,0.288,-0.074,-0.016,0.159,0.62,0.727,0.801,0.186,0.691,0.85,1,1,0.513,-0.061,0.309,0.484,0.768,1.016,73,3,5,81
Age and Gender,2 - 35 to 39,Hip Replacement,Oxford Hip Score,17.136,5,11,16,22.25,31.3,40.125,24,37,43.5,46,48,22.989,6.35,18,23,31,36.3,85,1,2,88
Age and Gender,2 - 35 to 39,Knee Replacement,EQ VAS,53.636,20.2,31.25,52.5,76.75,89.75,70.864,28.1,67,77.5,80,90,17.227,-12.85,-3.75,10,45,50,14,2,6,22
Age and Gender,2 - 35 to 39,Knee Replacement,EQ-5D Index,0.341,-0.074,0.03,0.159,0.691,0.76,0.648,-0.181,0.587,0.689,0.883,1,0.307,-0.636,0.058,0.309,0.697,0.841,16,1,4,21
Age and Gender,2 - 35 to 39,Knee Replacement,Oxford Knee Score,18.364,9.05,14.5,18.5,22,26.95,34.455,14.35,27.25,38,43,46,16.091,-0.9,9.75,17,21.25,35,20,0,2,22
Age and Gender,2 - 40 to 44,Hip Replacement,EQ VAS,55.78,20,35,60,75,90,75.576,36,70,80,90,100,19.795,-15,5,20,40,65,156,18,31,205
Age and Gender,2 - 40 to 44,Hip Replacement,EQ-5D Index,0.303,-0.181,-0.016,0.189,0.62,0.76,0.752,0.082,0.656,0.804,1,1,0.449,-0.04,0.224,0.413,0.729,0.977,190,8,12,210
Age and Gender,2 - 40 to 44,Hip Replacement,Oxford Hip Score,16.298,4,10,16,22,29.15,38.977,19.85,34.25,43,46,48,22.679,6,16.25,22.5,30,39,217,0,1,218
Age and Gender,2 - 40 to 44,Knee Replacement,EQ VAS,58.464,13.5,40,60,79.25,96.25,70.071,36.25,56.5,75,86,95,11.607,-16.25,-3.25,10,25.25,62.5,32,8,16,56
Age and Gender,2 - 40 to 44,Knee Replacement,EQ-5D Index,0.253,-0.113,0.032,0.159,0.612,0.726,0.688,0.152,0.62,0.691,0.839,1,0.435,-0.071,0.147,0.477,0.721,0.841,46,2,6,54
Age and Gender,2 - 40 to 44,Knee Replacement,Oxford Knee Score,15.016,5,10,15.5,19,24.85,33.078,14.3,25,36,41,46,18.063,3.15,10.75,18,25.25,34,64,0,0,64
Age and Gender,2 - 45 to 49,Hip Replacement,EQ VAS,56.228,20,38.5,59.5,76.5,90,75.708,35,70,80,90,100,19.479,-20,1,17,40,65,329,25,84,438
Age and Gender,2 - 45 to 49,Hip Replacement,EQ-5D Index,0.318,-0.074,-0.003,0.26,0.62,0.727,0.774,0.084,0.689,0.814,1,1,0.456,-0.071,0.209,0.413,0.741,0.952,404,17,28,449
Age and Gender,2 - 45 to 49,Hip Replacement,Oxford Hip Score,16.456,5,11,16,22,30,39.732,18.85,35.25,43,46,48,23.276,5,17,24,31,37,466,3,9,478
Age and Gender,2 - 45 to 49,Knee Replacement,EQ VAS,56.601,15,35,60,80,90,68.957,23,55,75,90,96,12.356,-40,-4,10,30,60,177,29,75,281
Age and Gender,2 - 45 to 49,Knee Replacement,EQ-5D Index,0.275,-0.181,-0.01,0.159,0.62,0.76,0.62,-0.077,0.516,0.691,0.848,1,0.344,-0.109,0.03,0.309,0.647,0.935,217,30,40,287
Age and Gender,2 - 45 to 49,Knee Replacement,Oxford Knee Score,15.211,4,9,14,21,28,32.343,11,24,35,42,46,17.132,0,9,17,25,34.9,286,3,14,303
Age and Gender,2 - 50 to 54,Hip Replacement,EQ VAS,57.961,20,40,60,80,90.95,77.116,35,70,80,90,100,19.155,-20,1,20,35,65,738,72,172,982
Age and Gender,2 - 50 to 54,Hip Replacement,EQ-5D Index,0.307,-0.077,-0.003,0.186,0.62,0.76,0.775,0.082,0.691,0.814,1,1,0.469,-0.066,0.209,0.42,0.76,1.016,888,45,53,986
Age and Gender,2 - 50 to 54,Hip Replacement,Oxford Hip Score,16.139,5,10,15,21,30,39.829,20,36,43,47,48,23.69,6,18,25,31,38,1023,1,20,1044
Age and Gender,2 - 50 to 54,Knee Replacement,EQ VAS,60.639,20,43,61,80,95,71.483,30,60,75,90,97.95,10.844,-30,-5,10,27,52.9,641,91,290,1022
Age and Gender,2 - 50 to 54,Knee Replacement,EQ-5D Index,0.319,-0.077,0.055,0.159,0.691,0.733,0.684,0.013,0.62,0.727,0.85,1,0.366,-0.117,0.088,0.334,0.637,0.912,847,94,92,1033
Age and Gender,2 - 50 to 54,Knee Replacement,Oxford Knee Score,16.261,6,11,15,21,29,33.814,13,28,36,42,46,17.554,-1,11,18,25,33,1023,12,58,1093
Age and Gender,2 - 55 to 59,Hip Replacement,EQ VAS,60.294,20,40,61,80,95,78.419,40,70,84,90,100,18.125,-20.65,0.75,15,35,60,1146,106,276,1528
Age and Gender,2 - 55 to 59,Hip Replacement,EQ-5D Index,0.319,-0.074,-0.003,0.26,0.62,0.76,0.791,0.097,0.691,0.848,1,1,0.472,-0.032,0.225,0.413,0.768,1.016,1412,81,82,1575
Age and Gender,2 - 55 to 59,Hip Replacement,Oxford Hip Score,16.438,5,11,16,21,30,40.098,20,37,44,47,48,23.66,5,18,25,31,38,1634,10,34,1678
Age and Gender,2 - 55 to 59,Knee Replacement,EQ VAS,62.44,25,50,65,80,95,72.521,30,60,80,90,98,10.081,-30,-2,10,25,50,1139,194,470,1803
Age and Gender,2 - 55 to 59,Knee Replacement,EQ-5D Index,0.348,-0.077,0.055,0.264,0.691,0.76,0.684,-0.003,0.62,0.727,0.85,1,0.336,-0.147,0.069,0.309,0.636,0.911,1456,188,198,1842
Age and Gender,2 - 55 to 59,Knee Replacement,Oxford Knee Score,16.906,6,11,16,22,30,33.968,13,27,37,42,47,17.062,-1,10,18,25,33,1843,16,111,1970
Age and Gender,2 - 60 to 64,Hip Replacement,EQ VAS,61.007,20,45,65,80,95,78.854,40,70,82.5,90,100,17.846,-19.45,0,15,32.25,61.45,1861,216,415,2492
Age and Gender,2 - 60 to 64,Hip Replacement,EQ-5D Index,0.323,-0.074,-0.003,0.228,0.62,0.76,0.792,0.101,0.691,0.848,1,1,0.469,0,0.209,0.413,0.76,1.016,2296,134,112,2542
Age and Gender,2 - 60 to 64,Hip Replacement,Oxford Hip Score,16.896,5,11,16,22,31,40.423,21.65,37,43,47,48,23.527,5,18,25,30,38,2681,14,59,2754
Age and Gender,2 - 60 to 64,Knee Replacement,EQ VAS,64.44,27,50,70,80,95,73.816,35,60.25,80,90,98,9.376,-30,-5,10,22,50,1804,280,818,2902
Age and Gender,2 - 60 to 64,Knee Replacement,EQ-5D Index,0.371,-0.074,0.088,0.516,0.691,0.76,0.705,0.055,0.62,0.727,0.883,1,0.333,-0.105,0.069,0.309,0.603,0.872,2393,295,288,2976
Age and Gender,2 - 60 to 64,Knee Replacement,Oxford Knee Score,17.635,6,12,17,23,31,34.441,14.1,28,37,42,47,16.806,-1,10,18,24,32,2970,40,173,3183
Age and Gender,2 - 65 to 69,Hip Replacement,EQ VAS,63.284,20,50,69,80,95,78.537,40,70,80,90,100,15.253,-20,0,11,30,59,2591,271,716,3578
Age and Gender,2 - 65 to 69,Hip Replacement,EQ-5D Index,0.341,-0.074,0.055,0.516,0.656,0.76,0.808,0.383,0.691,0.848,1,1,0.466,0,0.226,0.413,0.759,1.003,3340,185,155,3680
Age and Gender,2 - 65 to 69,Hip Replacement,Oxford Hip Score,17.443,5,11,17,23,32,40.424,22,37,43,47,48,22.981,5,17,24,30,38,3873,16,83,3972
Age and Gender,2 - 65 to 69,Knee Replacement,EQ VAS,66.909,30,50,70,80,95,75.86,40,69,80,90,99,8.951,-25,-2,7,20,49,2427,436,1036,3899
Age and Gender,2 - 65 to 69,Knee Replacement,EQ-5D Index,0.394,-0.074,0.088,0.516,0.691,0.76,0.752,0.159,0.691,0.779,1,1,0.358,-0.071,0.104,0.309,0.636,0.912,3352,342,302,3996
Age and Gender,2 - 65 to 69,Knee Replacement,Oxford Knee Score,18.2,7,13,18,23,31,36.057,18,31,38,43,47,17.857,0,12,18,25,33,4103,28,189,4320
Age and Gender,2 - 70 to 74,Hip Replacement,EQ VAS,64.169,25,50,70,80,95,77.838,45,70,80,90,99,13.669,-20,0,10,26,55,3211,393,1058,4662
Age and Gender,2 - 70 to 74,Hip Replacement,EQ-5D Index,0.338,-0.074,0.055,0.364,0.656,0.727,0.8,0.487,0.691,0.814,1,1,0.462,0,0.204,0.413,0.759,1.016,4304,282,225,4811
Age and Gender,2 - 70 to 74,Hip Replacement,Oxford Hip Score,17.382,5,11,17,23,32,39.73,22,36,42,46,48,22.348,4,16,23,30,37,5150,23,113,5286
Age and Gender,2 - 70 to 74,Knee Replacement,EQ VAS,67.881,30,53,70,80,95,76.205,45,70,80,90,98,8.324,-21.95,-3,5,20,45,3105,577,1380,5062
Age and Gender,2 - 70 to 74,Knee Replacement,EQ-5D Index,0.408,-0.074,0.088,0.587,0.691,0.76,0.766,0.228,0.691,0.796,1,1,0.358,-0.071,0.104,0.309,0.636,0.899,4463,425,352,5240
Age and Gender,2 - 70 to 74,Knee Replacement,Oxford Knee Score,18.536,7,13,18,24,32,36.474,19,31,38,43,47,17.938,2,12,18,25,33,5419,43,195,5657
Age and Gender,2 - 75 to 79,Hip Replacement,EQ VAS,63,20,50,69,80,95,75.831,45,70,80,90,98,12.831,-20,0,10,26,55,2273,314,862,3449
Age and Gender,2 - 75 to 79,Hip Replacement,EQ-5D Index,0.321,-0.074,0.003,0.195,0.62,0.727,0.785,0.293,0.691,0.796,1,1,0.465,-0.033,0.192,0.413,0.763,1.016,3255,206,193,3654
Age and Gender,2 - 75 to 79,Hip Replacement,Oxford Hip Score,17.02,5,11,16,22,32,38.666,21,34,41,45,48,21.645,3,15,23,29,37,3904,21,109,4034
Age and Gender,2 - 75 to 79,Knee Replacement,EQ VAS,67.736,30,51,70,80,95,74.125,40,65,80,90,96,6.389,-27,-5,5,19,43,2010,450,1132,3592
Age and Gender,2 - 75 to 79,Knee Replacement,EQ-5D Index,0.397,-0.074,0.088,0.587,0.691,0.727,0.749,0.186,0.689,0.76,1,1,0.352,-0.071,0.104,0.309,0.636,0.897,3167,376,267,3810
Age and Gender,2 - 75 to 79,Knee Replacement,Oxford Knee Score,18.002,7,13,18,23,31,35.664,19,30,37,43,47,17.661,1,11,18,24,33,3966,29,143,4138
Age and Gender,2 - 80 to 84,Hip Replacement,EQ VAS,61.432,20,50,65,80,90,73.7,40,60,80,89,97,12.268,-25,-1,10,25,60,1469,211,580,2260
Age and Gender,2 - 80 to 84,Hip Replacement,EQ-5D Index,0.273,-0.181,-0.003,0.159,0.587,0.691,0.752,0.186,0.656,0.779,1,1,0.479,-0.013,0.205,0.502,0.759,1.016,2176,99,123,2398
Age and Gender,2 - 80 to 84,Hip Replacement,Oxford Hip Score,15.617,4,9,15,21,30,36.993,19,32,39,44,48,21.376,3,15,22,29,37,2600,14,65,2679
Age and Gender,2 - 80 to 84,Knee Replacement,EQ VAS,66.561,30,50,70,80,94,73.355,40,63.75,77,87,95,6.795,-25,-5,5,20,45,1103,253,640,1996
Age and Gender,2 - 80 to 84,Knee Replacement,EQ-5D Index,0.386,-0.074,0.088,0.516,0.691,0.76,0.75,0.195,0.691,0.76,1,1,0.364,-0.053,0.104,0.309,0.636,0.899,1790,190,135,2115
Age and Gender,2 - 80 to 84,Knee Replacement,Oxford Knee Score,17.486,6,12,17,23,31,35.462,19,30,37,42.25,47,17.976,2,11.75,18,25,33,2279,20,61,2360
Age and Gender,2 - 85 to 89,Hip Replacement,EQ VAS,60.727,20,50,65,80,90,71.85,40,60,75,85,95,11.123,-28,-2,10,25,50,541,73,221,835
Age and Gender,2 - 85 to 89,Hip Replacement,EQ-5D Index,0.241,-0.239,-0.016,0.124,0.587,0.691,0.728,0.239,0.62,0.743,0.883,1,0.488,-0.054,0.192,0.532,0.772,1.016,794,49,50,893
Age and Gender,2 - 85 to 89,Hip Replacement,Oxford Hip Score,14.636,4,8,13,20,31,36.364,21,31,38,43,47.4,21.727,3,15,23,29,37,961,5,27,993
Age and Gender,2 - 85 to 89,Knee Replacement,EQ VAS,66.336,30,50,70,80,95,72.059,40,60,75,85,95,5.722,-30,-5,5,19,44,368,72,223,663
Age and Gender,2 - 85 to 89,Knee Replacement,EQ-5D Index,0.365,-0.074,0.088,0.516,0.691,0.727,0.718,0.159,0.62,0.727,0.883,1,0.353,-0.104,0.104,0.309,0.636,0.856,574,57,60,691
Age and Gender,2 - 85 to 89,Knee Replacement,Oxford Knee Score,16.509,5,11,16,22,30,34.596,18,29,36,41.5,47,18.088,1.1,11,19,25,33,734,5,24,763
Age and Gender,2 - 90 to 120,Hip Replacement,EQ VAS,56.21,10,40,60,75,90,69.167,37.1,50,70,84.75,100,12.957,-25.75,0,10,30,51.5,93,11,34,138
Age and Gender,2 - 90 to 120,Hip Replacement,EQ-5D Index,0.169,-0.239,-0.074,0.055,0.516,0.691,0.705,0.189,0.587,0.743,0.85,1,0.536,0,0.263,0.59,0.78,1.074,131,9,6,146
Age and Gender,2 - 90 to 120,Hip Replacement,Oxford Hip Score,12.736,3,6,11,18,27.9,35.436,20.1,30.5,38,41,46,22.699,8,17.5,23,30,36,158,0,5,163
Age and Gender,2 - 90 to 120,Knee Replacement,EQ VAS,61.859,20,50,65,80,90,69.753,40,59,70,84,92.4,7.894,-34.2,-10,5,20,49,45,11,29,85
Age and Gender,2 - 90 to 120,Knee Replacement,EQ-5D Index,0.287,-0.074,0.055,0.159,0.62,0.707,0.692,0.055,0.62,0.726,0.858,1,0.406,-0.033,0.128,0.421,0.655,0.899,79,7,6,92
Age and Gender,2 - 90 to 120,Knee Replacement,Oxford Knee Score,14.131,3,8,13,18,28.1,33.545,17.8,26.5,36,40,46,19.414,2,13,20,25,35,98,0,1,99
Age and Gender,9 - 10 to 14,Hip Replacement,EQ VAS,,,,,,,,,,,,,,,,,,,,,,
Age and Gender,9 - 10 to 14,Hip Replacement,EQ-5D Index,,,,,,,,,,,,,,,,,,,,,,
Age and Gender,9 - 10 to 14,Hip Replacement,Oxford Hip Score,,,,,,,,,,,,,,,,,,,,,,
Age and Gender,9 - 10 to 14,Knee Replacement,EQ VAS,,,,,,,,,,,,,,,,,,,,,,
Age and Gender,9 - 10 to 14,Knee Replacement,EQ-5D Index,,,,,,,,,,,,,,,,,,,,,,
Age and Gender,9 - 10 to 14,Knee Replacement,Oxford Knee Score,,,,,,,,,,,,,,,,,,,,,,
Age and Gender,9 - 15 to 19,Hip Replacement,EQ VAS,,,,,,,,,,,,,,,,,,,,,,
Age and Gender,9 - 15 to 19,Hip Replacement,EQ-5D Index,,,,,,,,,,,,,,,,,,,,,,
Age and Gender,9 - 15 to 19,Hip Replacement,Oxford Hip Score,,,,,,,,,,,,,,,,,,,,,,
Age and Gender,9 - 15 to 19,Knee Replacement,EQ VAS,,,,,,,,,,,,,,,,,,,,,,
Age and Gender,9 - 15 to 19,Knee Replacement,EQ-5D Index,,,,,,,,,,,,,,,,,,,,,,
Age and Gender,9 - 15 to 19,Knee Replacement,Oxford Knee Score,,,,,,,,,,,,,,,,,,,,,,
Age and Gender,9 - 20 to 24,Hip Replacement,EQ VAS,,,,,,,,,,,,,,,,,,,,,,
Age and Gender,9 - 20 to 24,Hip Replacement,EQ-5D Index,,,,,,,,,,,,,,,,,,,,,,
Age and Gender,9 - 20 to 24,Hip Replacement,Oxford Hip Score,,,,,,,,,,,,,,,,,,,,,,
Age and Gender,9 - 20 to 24,Knee Replacement,EQ VAS,,,,,,,,,,,,,,,,,,,,,,
Age and Gender,9 - 20 to 24,Knee Replacement,EQ-5D Index,,,,,,,,,,,,,,,,,,,,,,
Age and Gender,9 - 20 to 24,Knee Replacement,Oxford Knee Score,,,,,,,,,,,,,,,,,,,,,,
Age and Gender,9 - 25 to 29,Hip Replacement,EQ VAS,,,,,,,,,,,,,,,,,,,,,,
Age and Gender,9 - 25 to 29,Hip Replacement,EQ-5D Index,,,,,,,,,,,,,,,,,,,,,,
Age and Gender,9 - 25 to 29,Hip Replacement,Oxford Hip Score,,,,,,,,,,,,,,,,,,,,,,
Age and Gender,9 - 25 to 29,Knee Replacement,EQ VAS,,,,,,,,,,,,,,,,,,,,,,
Age and Gender,9 - 25 to 29,Knee Replacement,EQ-5D Index,,,,,,,,,,,,,,,,,,,,,,
Age and Gender,9 - 25 to 29,Knee Replacement,Oxford Knee Score,,,,,,,,,,,,,,,,,,,,,,
Age and Gender,9 - 30 to 34,Hip Replacement,EQ VAS,,,,,,,,,,,,,,,,,,,,,,
Age and Gender,9 - 30 to 34,Hip Replacement,EQ-5D Index,,,,,,,,,,,,,,,,,,,,,,
Age and Gender,9 - 30 to 34,Hip Replacement,Oxford Hip Score,,,,,,,,,,,,,,,,,,,,,,
Age and Gender,9 - 30 to 34,Knee Replacement,EQ VAS,,,,,,,,,,,,,,,,,,,,,,
Age and Gender,9 - 30 to 34,Knee Replacement,EQ-5D Index,,,,,,,,,,,,,,,,,,,,,,
Age and Gender,9 - 30 to 34,Knee Replacement,Oxford Knee Score,,,,,,,,,,,,,,,,,,,,,,
Age and Gender,9 - 35 to 39,Hip Replacement,EQ VAS,,,,,,,,,,,,,,,,,,,,,,
Age and Gender,9 - 35 to 39,Hip Replacement,EQ-5D Index,,,,,,,,,,,,,,,,,,,,,,
Age and Gender,9 - 35 to 39,Hip Replacement,Oxford Hip Score,,,,,,,,,,,,,,,,,,,,,,
Age and Gender,9 - 35 to 39,Knee Replacement,EQ VAS,,,,,,,,,,,,,,,,,,,,,,
Age and Gender,9 - 35 to 39,Knee Replacement,EQ-5D Index,,,,,,,,,,,,,,,,,,,,,,
Age and Gender,9 - 35 to 39,Knee Replacement,Oxford Knee Score,,,,,,,,,,,,,,,,,,,,,,
Age and Gender,9 - 40 to 44,Hip Replacement,EQ VAS,,,,,,,,,,,,,,,,,,,,,,
